GEO_ID,NAME,T01001_001N,POPGROUP,POPGROUP_LABEL
Geography,Geographic Area Name, !!Total,Race/Ethnic Group,Population Groups
,Census Tract 1.02; Story County; Iowa,22,1290,"Other Black or African American alone, not specified"
,Census Tract 1.02; Story County; Iowa,37,1292,African American alone or in any combination
,Census Tract 1.02; Story County; Iowa,32,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 1.03; Story County; Iowa,30,1292,African American alone or in any combination
,Census Tract 1.03; Story County; Iowa,23,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 1.05; Story County; Iowa,42,1224,African American alone
,Census Tract 1.05; Story County; Iowa,22,1290,"Other Black or African American alone, not specified"
,Census Tract 1.05; Story County; Iowa,50,1292,African American alone or in any combination
,Census Tract 1.05; Story County; Iowa,35,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 2; Story County; Iowa,48,1224,African American alone
,Census Tract 2; Story County; Iowa,29,1290,"Other Black or African American alone, not specified"
,Census Tract 2; Story County; Iowa,74,1292,African American alone or in any combination
,Census Tract 2; Story County; Iowa,57,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 3; Story County; Iowa,38,1224,African American alone
,Census Tract 3; Story County; Iowa,24,1290,"Other Black or African American alone, not specified"
,Census Tract 3; Story County; Iowa,65,1292,African American alone or in any combination
,Census Tract 3; Story County; Iowa,49,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 4; Story County; Iowa,23,1224,African American alone
,Census Tract 4; Story County; Iowa,31,1290,"Other Black or African American alone, not specified"
,Census Tract 4; Story County; Iowa,36,1292,African American alone or in any combination
,Census Tract 4; Story County; Iowa,52,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 5; Story County; Iowa,X,1288,Other Black or African American alone
,Census Tract 5; Story County; Iowa,247,1290,"Other Black or African American alone, not specified"
,Census Tract 5; Story County; Iowa,239,1356,Other Black or African American alone or in any combination
,Census Tract 5; Story County; Iowa,249,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 6; Story County; Iowa,97,1224,African American alone
,Census Tract 6; Story County; Iowa,51,1290,"Other Black or African American alone, not specified"
,Census Tract 6; Story County; Iowa,135,1292,African American alone or in any combination
,Census Tract 6; Story County; Iowa,118,1293,Sub-Saharan African alone or in any combination
,Census Tract 6; Story County; Iowa,77,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 7; Story County; Iowa,49,1224,African American alone
,Census Tract 7; Story County; Iowa,66,1292,African American alone or in any combination
,Census Tract 8; Story County; Iowa,X,1288,Other Black or African American alone
,Census Tract 8; Story County; Iowa,179,1290,"Other Black or African American alone, not specified"
,Census Tract 8; Story County; Iowa,147,1356,Other Black or African American alone or in any combination
,Census Tract 8; Story County; Iowa,193,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 9; Story County; Iowa,48,1224,African American alone
,Census Tract 9; Story County; Iowa,45,1290,"Other Black or African American alone, not specified"
,Census Tract 9; Story County; Iowa,68,1292,African American alone or in any combination
,Census Tract 9; Story County; Iowa,50,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 10; Story County; Iowa,133,1224,African American alone
,Census Tract 10; Story County; Iowa,134,1225,Sub-Saharan African alone
,Census Tract 10; Story County; Iowa,27,1259,South Sudanese alone
,Census Tract 10; Story County; Iowa,X,1260,Sudanese alone
,Census Tract 10; Story County; Iowa,95,1290,"Other Black or African American alone, not specified"
,Census Tract 10; Story County; Iowa,176,1292,African American alone or in any combination
,Census Tract 10; Story County; Iowa,168,1293,Sub-Saharan African alone or in any combination
,Census Tract 10; Story County; Iowa,46,1328,Sudanese alone or in any combination
,Census Tract 10; Story County; Iowa,151,1356,Other Black or African American alone or in any combination
,Census Tract 10; Story County; Iowa,134,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 11.01; Story County; Iowa,24,1224,African American alone
,Census Tract 11.01; Story County; Iowa,44,1292,African American alone or in any combination
,Census Tract 11.01; Story County; Iowa,30,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 11.02; Story County; Iowa,X,1224,African American alone
,Census Tract 11.02; Story County; Iowa,22,1241,Ghanaian alone
,Census Tract 11.02; Story County; Iowa,X,1288,Other Black or African American alone
,Census Tract 11.02; Story County; Iowa,110,1290,"Other Black or African American alone, not specified"
,Census Tract 11.02; Story County; Iowa,27,1292,African American alone or in any combination
,Census Tract 11.02; Story County; Iowa,99,1356,Other Black or African American alone or in any combination
,Census Tract 11.02; Story County; Iowa,130,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 12; Story County; Iowa,22,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 13.02; Story County; Iowa,51,1224,African American alone
,Census Tract 13.02; Story County; Iowa,49,1290,"Other Black or African American alone, not specified"
,Census Tract 13.02; Story County; Iowa,81,1292,African American alone or in any combination
,Census Tract 13.02; Story County; Iowa,26,1327,South Sudanese alone or in any combination
,Census Tract 13.02; Story County; Iowa,104,1356,Other Black or African American alone or in any combination
,Census Tract 13.02; Story County; Iowa,83,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 13.03; Story County; Iowa,125,1224,African American alone
,Census Tract 13.03; Story County; Iowa,36,1290,"Other Black or African American alone, not specified"
,Census Tract 13.03; Story County; Iowa,174,1292,African American alone or in any combination
,Census Tract 13.03; Story County; Iowa,56,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 13.04; Story County; Iowa,161,1224,African American alone
,Census Tract 13.04; Story County; Iowa,X,1225,Sub-Saharan African alone
,Census Tract 13.04; Story County; Iowa,32,1260,Sudanese alone
,Census Tract 13.04; Story County; Iowa,X,1288,Other Black or African American alone
,Census Tract 13.04; Story County; Iowa,105,1290,"Other Black or African American alone, not specified"
,Census Tract 13.04; Story County; Iowa,221,1292,African American alone or in any combination
,Census Tract 13.04; Story County; Iowa,109,1293,Sub-Saharan African alone or in any combination
,Census Tract 13.04; Story County; Iowa,36,1328,Sudanese alone or in any combination
,Census Tract 13.04; Story County; Iowa,122,1356,Other Black or African American alone or in any combination
,Census Tract 13.04; Story County; Iowa,152,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 101.01; Story County; Iowa,32,1292,African American alone or in any combination
,Census Tract 101.02; Story County; Iowa,26,1259,South Sudanese alone
,Census Tract 101.02; Story County; Iowa,23,1292,African American alone or in any combination
,Census Tract 103; Story County; Iowa,37,1224,African American alone
,Census Tract 103; Story County; Iowa,44,1292,African American alone or in any combination
,Census Tract 103; Story County; Iowa,42,1358,"Other Black or African American alone or in any combination, not specified"
,Census Tract 104; Story County; Iowa,33,1292,African American alone or in any combination
,Census Tract 106; Story County; Iowa,24,1290,"Other Black or African American alone, not specified"
,Census Tract 106; Story County; Iowa,26,1292,African American alone or in any combination
,Census Tract 106; Story County; Iowa,27,1358,"Other Black or African American alone or in any combination, not specified"
